image,PSNR_dB,SSIM,LPIPS
000295,25.389063535170667,0.359409300425794,0.3751930892467499
000296,24.38672801756808,0.7218470195741616,0.3260899484157562
000297,24.73410328839825,0.721309637150703,0.1723368465900421
000298,24.96052431260381,0.7231672848638399,0.1775320470333099
000299,25.56431286007655,0.7523826927448809,0.2118677496910095
000300,26.30491393057116,0.4541547163638472,0.3056292533874511
000301,29.23992140096749,0.886918658739388,0.1429964900016784
000302,30.5933750757599,0.905216420638904,0.1061196625232696
000303,30.084468732057708,0.8936797609541715,0.096760869026184
000304,28.396170695217208,0.8083469120453,0.2513901591300964
000305,28.698652743310586,0.7254552982346341,0.3484281301498413
000306,28.37465346325971,0.7151418166804332,0.3468765616416931
000307,28.86980917243804,0.736810794340033,0.3505212366580963
000308,33.5311225330765,0.9343115458774568,0.1918457150459289
000309,26.344177391451417,0.6953010590947829,0.2229175567626953
000310,27.156361999172223,0.7238359899616241,0.2780584096908569
000311,26.716529172737683,0.7037413463525493,0.2399279624223709
000312,22.58369815364118,0.8024401412069984,0.2439063787460327
000313,36.00369113894772,0.8732823357386589,0.3002491295337677
000314,35.98499744785122,0.8525147260746956,0.3183525800704956
000315,35.80676529347946,0.879082246934414,0.3492128849029541
000316,33.46979650366115,0.9357495152794568,0.2362512648105621
000317,23.878074220496885,0.6104522698175698,0.4827721714973449
000318,23.900872742720644,0.6451250696359361,0.4180471301078796
000319,23.85965392553111,0.6544622197791548,0.3840014934539795
000320,21.868620951585065,0.6360039891697536,0.2964548766613006
000321,29.146036030781048,0.848158593744196,0.2059339731931686
000322,27.93691676425592,0.8276432034838125,0.1992128491401672
000323,28.460380988163617,0.8339128485616669,0.1978138089179992
000324,25.012471796073825,0.8161910988599598,0.1751660853624344
000325,31.249581095515847,0.9147727080170548,0.1100185364484787
000326,31.37886666863759,0.9078506784617566,0.1092782020568847
